identifier	batch
SRR1069188	GTEx_polyA
SRR1070986	GTEx_polyA
SRR1071289	GTEx_polyA
SRR1071880	GTEx_polyA
SRR1072178	GTEx_polyA
SRR1072367	GTEx_polyA
SRR1072504	GTEx_polyA
SRR1072797	GTEx_polyA
SRR1073143	GTEx_polyA
SRR1073755	GTEx_polyA
SRR1074164	GTEx_polyA
SRR1075433	GTEx_polyA
SRR1075898	GTEx_polyA
SRR1076072	GTEx_polyA
SRR1077405	GTEx_polyA
SRR1077687	GTEx_polyA
SRR1078347	GTEx_polyA
SRR1078879	GTEx_polyA
SRR1079168	GTEx_polyA
SRR1079281	GTEx_polyA
SRR1079591	GTEx_polyA
SRR1080172	GTEx_polyA
SRR1080835	GTEx_polyA
SRR1080927	GTEx_polyA
SRR1081741	GTEx_polyA
SRR1082262	GTEx_polyA
SRR1082328	GTEx_polyA
SRR1082759	GTEx_polyA
SRR1083100	GTEx_polyA
SRR1083632	GTEx_polyA
SRR1084484	GTEx_polyA
SRR1084649	GTEx_polyA
SRR1084842	GTEx_polyA
SRR1085015	GTEx_polyA
SRR1085495	GTEx_polyA
SRR1085662	GTEx_polyA
SRR1085825	GTEx_polyA
SRR1085850	GTEx_polyA
SRR1085975	GTEx_polyA
SRR1086561	GTEx_polyA
SRR1086635	GTEx_polyA
SRR1088389	GTEx_polyA
SRR1092706	GTEx_polyA
SRR1092797	GTEx_polyA
SRR1093527	GTEx_polyA
SRR1093773	GTEx_polyA
SRR1095865	GTEx_polyA
SRR1096851	GTEx_polyA
SRR1096966	GTEx_polyA
SRR1097392	GTEx_polyA
SRR1097752	GTEx_polyA
SRR1097978	GTEx_polyA
SRR1098336	GTEx_polyA
SRR1098519	GTEx_polyA
SRR1099023	GTEx_polyA
SRR1099168	GTEx_polyA
SRR1099499	GTEx_polyA
SRR1307770	GTEx_polyA
SRR1310008	GTEx_polyA
SRR1310113	GTEx_polyA
SRR1310136	GTEx_polyA
SRR1310623	GTEx_polyA
SRR1311086	GTEx_polyA
SRR1311182	GTEx_polyA
SRR1311285	GTEx_polyA
SRR1311400	GTEx_polyA
SRR1311575	GTEx_polyA
SRR1311771	GTEx_polyA
SRR1311794	GTEx_polyA
SRR1316535	GTEx_polyA
SRR1316624	GTEx_polyA
SRR1316815	GTEx_polyA
SRR1316874	GTEx_polyA
SRR1316921	GTEx_polyA
SRR1316940	GTEx_polyA
SRR1316963	GTEx_polyA
SRR1317323	GTEx_polyA
SRR1317344	GTEx_polyA
SRR1317494	GTEx_polyA
SRR1317596	GTEx_polyA
SRR1317808	GTEx_polyA
SRR1317853	GTEx_polyA
SRR1317877	GTEx_polyA
SRR1318067	GTEx_polyA
SRR1318163	GTEx_polyA
SRR1318372	GTEx_polyA
SRR1318407	GTEx_polyA
SRR1318426	GTEx_polyA
SRR1319019	GTEx_polyA
SRR1319136	GTEx_polyA
SRR1319158	GTEx_polyA
SRR1319539	GTEx_polyA
SRR1319672	GTEx_polyA
SRR1319816	GTEx_polyA
SRR1319837	GTEx_polyA
SRR1319970	GTEx_polyA
SRR1320012	GTEx_polyA
SRR1320071	GTEx_polyA
SRR1320093	GTEx_polyA
SRR1320115	GTEx_polyA
SRR1320180	GTEx_polyA
SRR1320280	GTEx_polyA
SRR1320342	GTEx_polyA
SRR1320560	GTEx_polyA
SRR1320873	GTEx_polyA
SRR1320892	GTEx_polyA
SRR1320916	GTEx_polyA
SRR1320963	GTEx_polyA
SRR1321046	GTEx_polyA
SRR1321183	GTEx_polyA
SRR1321244	GTEx_polyA
SRR1321462	GTEx_polyA
SRR1321552	GTEx_polyA
SRR1321674	GTEx_polyA
SRR1321786	GTEx_polyA
SRR1321853	GTEx_polyA
SRR1321966	GTEx_polyA
SRR1322163	GTEx_polyA
SRR1322270	GTEx_polyA
SRR1322291	GTEx_polyA
SRR1322419	GTEx_polyA
SRR1322456	GTEx_polyA
SRR1322555	GTEx_polyA
SRR1322768	GTEx_polyA
SRR1323043	GTEx_polyA
SRR1323106	GTEx_polyA
SRR1323130	GTEx_polyA
SRR1323174	GTEx_polyA
SRR1323196	GTEx_polyA
SRR1323536	GTEx_polyA
SRR1323603	GTEx_polyA
SRR1323746	GTEx_polyA
SRR1323764	GTEx_polyA
SRR1323807	GTEx_polyA
SRR1324043	GTEx_polyA
SRR1324371	GTEx_polyA
SRR1324431	GTEx_polyA
SRR1324452	GTEx_polyA
SRR1325332	GTEx_polyA
SRR1325401	GTEx_polyA
SRR1325665	GTEx_polyA
SRR1325927	GTEx_polyA
SRR1325964	GTEx_polyA
SRR1325986	GTEx_polyA
SRR1326179	GTEx_polyA
SRR1326366	GTEx_polyA
SRR1327593	GTEx_polyA
SRR1327811	GTEx_polyA
SRR1327975	GTEx_polyA
SRR1328035	GTEx_polyA
SRR1328487	GTEx_polyA
SRR1328599	GTEx_polyA
SRR1328895	GTEx_polyA
SRR1328919	GTEx_polyA
SRR1329090	GTEx_polyA
SRR1329334	GTEx_polyA
SRR1329377	GTEx_polyA
SRR1329551	GTEx_polyA
SRR1329761	GTEx_polyA
SRR1329835	GTEx_polyA
SRR1329885	GTEx_polyA
SRR1330041	GTEx_polyA
SRR1330061	GTEx_polyA
SRR1330346	GTEx_polyA
SRR1330498	GTEx_polyA
SRR1330546	GTEx_polyA
SRR1330656	GTEx_polyA
SRR1330675	GTEx_polyA
SRR1330699	GTEx_polyA
SRR1331289	GTEx_polyA
SRR1331335	GTEx_polyA
SRR1331466	GTEx_polyA
SRR1331534	GTEx_polyA
SRR1331579	GTEx_polyA
SRR1331597	GTEx_polyA
SRR1331751	GTEx_polyA
SRR1331841	GTEx_polyA
SRR1331944	GTEx_polyA
SRR1332048	GTEx_polyA
SRR1332275	GTEx_polyA
SRR1332317	GTEx_polyA
SRR1332796	GTEx_polyA
SRR1332856	GTEx_polyA
SRR1333352	GTEx_polyA
SRR1333587	GTEx_polyA
SRR1333694	GTEx_polyA
SRR1333741	GTEx_polyA
SRR1333767	GTEx_polyA
SRR1333930	GTEx_polyA
SRR1334033	GTEx_polyA
SRR1334440	GTEx_polyA
SRR1334564	GTEx_polyA
SRR1334717	GTEx_polyA
